epoch,train_total,train_pos,train_ori,val_total,val_pos,val_ori,lr
1,0.022926,0.015995,0.006930,0.002883,0.001220,0.001663,1.000000e-04
2,0.004181,0.002894,0.001287,0.001612,0.000869,0.000743,1.000000e-04
3,0.002665,0.001813,0.000852,0.001917,0.000970,0.000947,1.000000e-04
4,0.001753,0.001159,0.000595,0.001016,0.000749,0.000267,1.000000e-04
5,0.001328,0.000864,0.000464,0.000599,0.000379,0.000220,1.000000e-04
6,0.000973,0.000635,0.000338,0.000504,0.000318,0.000185,1.000000e-04
7,0.000909,0.000603,0.000305,0.000402,0.000236,0.000166,1.000000e-04
8,0.000735,0.000487,0.000248,0.000354,0.000178,0.000175,1.000000e-04
9,0.000652,0.000441,0.000211,0.000373,0.000267,0.000106,1.000000e-04
10,0.000557,0.000373,0.000184,0.000317,0.000204,0.000113,1.000000e-04
11,0.000528,0.000366,0.000162,0.000471,0.000336,0.000135,1.000000e-04
12,0.000571,0.000409,0.000162,0.000223,0.000139,0.000085,1.000000e-04
13,0.000444,0.000319,0.000125,0.000366,0.000273,0.000093,1.000000e-04
14,0.000417,0.000296,0.000121,0.000362,0.000284,0.000077,1.000000e-04
15,0.000461,0.000333,0.000128,0.000567,0.000495,0.000071,1.000000e-04
16,0.000636,0.000500,0.000136,0.000349,0.000237,0.000112,1.000000e-04
17,0.000381,0.000284,0.000097,0.000176,0.000125,0.000051,1.000000e-04
18,0.000386,0.000288,0.000098,0.000224,0.000161,0.000063,1.000000e-04
19,0.000338,0.000253,0.000085,0.000246,0.000171,0.000075,1.000000e-04
20,0.000305,0.000219,0.000086,0.000248,0.000174,0.000074,1.000000e-04
21,0.000369,0.000276,0.000094,0.000265,0.000201,0.000063,1.000000e-04
22,0.000258,0.000189,0.000069,0.000272,0.000199,0.000073,1.000000e-04
23,0.000313,0.000238,0.000075,0.000252,0.000158,0.000094,1.000000e-04
24,0.000343,0.000267,0.000076,0.000296,0.000232,0.000064,1.000000e-04
25,0.000286,0.000218,0.000068,0.000272,0.000220,0.000051,1.000000e-04
26,0.000318,0.000257,0.000062,0.000689,0.000604,0.000085,1.000000e-04
27,0.000564,0.000481,0.000083,0.000180,0.000139,0.000041,1.000000e-04
28,0.000213,0.000164,0.000049,0.000176,0.000137,0.000039,1.000000e-04
29,0.000211,0.000161,0.000050,0.000255,0.000202,0.000054,1.000000e-04
30,0.000236,0.000184,0.000052,0.000156,0.000113,0.000043,1.000000e-04
31,0.000225,0.000172,0.000053,0.000141,0.000109,0.000032,1.000000e-04
32,0.000218,0.000173,0.000045,0.000160,0.000121,0.000039,1.000000e-04
33,0.000170,0.000130,0.000040,0.000223,0.000170,0.000053,1.000000e-04
34,0.000250,0.000203,0.000047,0.000125,0.000096,0.000029,1.000000e-04
35,0.000177,0.000139,0.000039,0.000176,0.000143,0.000033,1.000000e-04
36,0.000185,0.000144,0.000041,0.000126,0.000087,0.000040,1.000000e-04
37,0.000187,0.000150,0.000037,0.000159,0.000112,0.000047,1.000000e-04
38,0.000179,0.000143,0.000035,0.000125,0.000096,0.000028,1.000000e-04
39,0.000278,0.000229,0.000049,0.000349,0.000313,0.000036,1.000000e-04
40,0.000237,0.000201,0.000036,0.000228,0.000192,0.000036,1.000000e-04
41,0.000211,0.000175,0.000036,0.000241,0.000198,0.000043,1.000000e-04
42,0.000245,0.000205,0.000040,0.000094,0.000069,0.000026,1.000000e-04
43,0.000133,0.000105,0.000028,0.000095,0.000064,0.000031,1.000000e-04
44,0.000111,0.000084,0.000027,0.000128,0.000098,0.000029,1.000000e-04
45,0.000160,0.000124,0.000036,0.000111,0.000083,0.000028,1.000000e-04
46,0.000163,0.000134,0.000030,0.000078,0.000057,0.000021,1.000000e-04
47,0.000120,0.000093,0.000027,0.000096,0.000075,0.000021,1.000000e-04
48,0.000103,0.000080,0.000023,0.000107,0.000075,0.000032,1.000000e-04
49,0.000124,0.000103,0.000021,0.000087,0.000067,0.000020,1.000000e-04
50,0.000123,0.000097,0.000025,0.000234,0.000204,0.000030,1.000000e-04
